4"
"B15002H",16.000,"Bachelor's degree","19,033","+/-2,023","17,010","21,056"
"B15002H",17.000,"Graduate degree","11,545","+/-1,757","9,788","13,302"
"B15002I",.,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"B15002I",.,"Universe:  Hispanic or Latino population 25 years and over",,,,
"B15002I",1.000,"Total:","N","N","N","N"
"B15002I",2.000,"Male:","N","N","N","N"
"B15002I",3.000,"Less than 9th grade","N","N","N","N"
"B15002I",4.000,"9th to 12th grade, no diplo
