nsylvania,620,624,629,634,640,647,649,649
Yeadon borough,Pennsylvania,"11,506","11,518","11,579","11,616","11,698","11,752","11,762","11,762"
Yoe borough,Pennsylvania,"1,012","1,011","1,013","1,015","1,015","1,021","1,022","1,022"
York city,Pennsylvania,"40,418","40,407","40,630","40,808","41,012","41,264","41,301","40,862"
Yorkana borough,Pennsylvania,276,269,263,255,249,241,239,239
York Haven borough,Pennsylvania,797,797,801,800,803,808,809,809
York Springs borough,Pennsylvania,653,649,641,634,630,6
