,"3 or more bedrooms:","163,979","+/-7,113","156,866","171,092"
"C25068",18.000,"With cash rent:","148,670","+/-7,112","141,558","155,782"
"C25068",19.000,"Less than $500","7,476","+/-1,615","5,861","9,091"
"C25068",20.000,"$500 or more","141,194","+/-7,007","134,187","148,201"
"C25068",21.000,"No cash rent","15,309","+/-2,033","13,276","17,342"
"C25072",.,"AGE OF HOUSEHOLDER BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS",,,,
"C25072",.,"Universe:  Renter-occupied housing units",,,
