49,999","1,121","+/-523","598","1,644"
"B19037H",68.000,"$150,000 to $199,999","774","+/-345","429","1,119"
"B19037H",69.000,"$200,000 or more","1,659","+/-491","1,168","2,150"
"B19037I",.,"AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19037I",.,"Universe:  Households with a householder who is Hispanic or Latino",,,,
"B19037I",1.000,"Total:","54,954","+/-3,145","51,809","58,099"
"B19037I",2.000,"Householder under 25 
