$34,999","133","+/-158","0","291"
"B25075",8.000,"$35,000 to $39,999","409","+/-478","0","887"
"B25075",9.000,"$40,000 to $49,999","353","+/-265","88","618"
"B25075",10.000,"$50,000 to $59,999","175","+/-167","8","342"
"B25075",11.000,"$60,000 to $69,999","656","+/-325","331","981"
"B25075",12.000,"$70,000 to $79,999","883","+/-393","490","1,276"
"B25075",13.000,"$80,000 to $89,999","836","+/-338","498","1,174"
"B25075",14.000,"$90,000 to $99,999","378","+/-219","159","597"
"B25075",15.000,"$100,000 to $124
