f any race)",61,"Widowed","5.5","+/-0.4","2.2","+/-0.9"
"400","Hispanic or Latino (of any race)",62,"Divorced","13.9","+/-0.9","8.1","+/-1.8"
"400","Hispanic or Latino (of any race)",63,"Separated","2.3","+/-0.4","3.8","+/-1.3"
"400","Hispanic or Latino (of any race)",64,"Never married","26.9","+/-1.1","33.8","+/-3.1"
"400","Hispanic or Latino (of any race)",65,"Male 15 years and over","325,205","+/-3,607","55,937","+/-2,967"
"400","Hispanic or Latino (of any race)",66,"Now married, except separated","51.4"
