4"," 68","           792","           143","         1,441"
"50000US5111","4"," 69","         2,080","           706","         3,454"
"50000US5111","4"," 70","         8,893","         6,492","        11,294"
"50000US5111","4"," 71","        34,667","        29,804","        39,530"
"50000US5111","4"," 72","        50,129","        43,871","        56,387"
"50000US5111","4"," 73","        59,453","        53,852","        65,054"
"50000US5111","4"," 74","         1,809","         1,762","         1,8
