004D",.,"PLACE OF BIRTH BY RACE (ASIAN ALONE) IN THE UNITED STATES",,,,
"B06004D",.,"Universe:  Asian alone population in the United States",,,,
"B06004D",1.000,"Total:","31,436","+/-3,422","28,014","34,858"
"B06004D",2.000,"Born in state of residence","4,736","+/-1,329","3,407","6,065"
"B06004D",3.000,"Born in other state in the United States","4,542","+/-1,243","3,299","5,785"
"B06004D",4.000,"Native; born outside the United States","353","+/-265","88","618"
"B06004D",5.000,"Foreign born","21,805","+/-2,6
