th one or more other races",93,"Bachelor's degree","17.3","+/-0.7","20.1","+/-1.0"
"003","White alone or in combination with one or more other races",94,"Graduate or professional degree","12.2","+/-0.7","13.9","+/-0.8"
"003","White alone or in combination with one or more other races",95,"High school graduate or higher","87.1","+/-0.7","90.9","+/-0.6"
"003","White alone or in combination with one or more other races",96,"Male, high school graduate or higher","87.3","+/-1.1","91.6","+/-0.9"
"003","White alon
