,"Male householder, no wife present","28,425","+/-2,662","25,763","31,087"
"C11005",14.000,"Female householder, no husband present","59,087","+/-3,702","55,385","62,789"
"C11005",15.000,"Nonfamily households:","468,122","+/-8,966","459,156","477,088"
"C11005",16.000,"Male householder","211,519","+/-6,394","205,125","217,913"
"C11005",17.000,"Female householder","256,603","+/-6,906","249,697","263,509"
"C11010",.,"NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER",,,,
"C11010",
