,,,,
..Married spouse present,"10,533",120,383,"3,000","1,961","1,136","2,488",968,251,228
..Other family householder,"2,099",15,120,662,442,266,401,144,27,22
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"3,739",60,167,"1,064",742,462,724,373,90,57
..Living with nonrelatives,727,25,38,223,162,64,109,83,3,20
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"10,597",106,417,"3,498","1,845","1,173","2,189","1,063",173,133
..Other,"1,492",53,141,636,178,114,235,105,24,5
.NONRELATIVE,,,,,,,,,,
..Nonrelat
