03",2.0,"In labor force","72.5%","0.6","71.1%","0.6","*"
"DP03",3.0,"Civilian labor force","72.4%","0.6","71.0%","0.6",
"DP03",4.0,"Employed","65.3%","0.7","64.5%","0.7",
"DP03",5.0,"Unemployed","7.0%","0.5","6.4%","0.4",
"DP03",6.0,"Armed Forces","0.1%","0.1","0.1%","0.1",
"DP03",7.0,"Not in labor force","27.5%","0.6","28.9%","0.6","*"
"DP03",7.3,,,,,,
"DP03",8.0,"Civilian labor force","382,529","4,958","374,052","4,186",
"DP03",9.0,"Unemployed","9.7","**","9.0","**",
"DP03",9.3,,,,,,
"DP03",10.0,"Females 
