sc/indian/1997/q2/,inq21997.tgz,1127506.nc,19970627,5.7333,60.2167,0.700000,998.600,8.00700,29.2360,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127507.nc,19970628,4.6333,61.7500,0.700000,998.600,,,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127508.nc,19970628,4.6000,61.8000,0.700000,998.600,7.94000,29.5730,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127509.nc,19970628,3.5667,63.1667,0.700000,998.600,8.36100,29.4910,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq2199
