ispanic or Latino",253,"Under 18 years","21.6","+/-2.4","13.1","+/-2.8"
"450","Not Hispanic or Latino",254,"Related children under 18 years","21.0","+/-2.4","12.2","+/-2.8"
"450","Not Hispanic or Latino",255,"Related children under 5 years","23.6","+/-4.2","12.4","+/-4.5"
"450","Not Hispanic or Latino",256,"Related children 5 to 17 years","20.0","+/-2.5","12.1","+/-2.9"
"450","Not Hispanic or Latino",257,"18 years and over","13.0","+/-1.0","10.9","+/-0.9"
"450","Not Hispanic or Latino",258,"18 to 64 years",
