,000 to $79,999","2,722","+/-601","2,121","3,323"
"B25121",41.000,"Value $80,000 to $89,999","3,346","+/-899","2,447","4,245"
"B25121",42.000,"Value $90,000 to $99,999","4,290","+/-894","3,396","5,184"
"B25121",43.000,"Value $100,000 to $199,999","36,011","+/-2,700","33,311","38,711"
"B25121",44.000,"Value $200,000 to $249,999","13,519","+/-1,791","11,728","15,310"
"B25121",45.000,"Value $250,000 to $499,999","25,102","+/-2,482","22,620","27,584"
"B25121",46.000,"Value $500,000 or more","8,792","+/-1,425","
