 and souvenir, and other miscellaneous stores","1,810","+/-790","1,020","2,600"
"B24030",67.000,"Electronic shopping and mail-order houses","109","+/-128","0","237"
"B24030",68.000,"Vending machine operators","405","+/-546","0","951"
"B24030",69.000,"Fuel dealers","0","+/-303","0","303"
"B24030",70.000,"Other direct selling establishments","778","+/-458","320","1,236"
"B24030",71.000,"Transportation and warehousing, and utilities:","13,138","+/-2,247","10,891","15,385"
"B24030",72.000,"Transportation and wa
