her races, not Hispanic or Latino",56,"Not living alone","3.0","+/-0.4","3.5","+/-0.5"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",57,"Average household size","2.53","+/-0.03","2.26","+/-0.04"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",58,"Average family size","3.21","+/-0.06","2.91","+/-0.05"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",59,"Population 15 years and ove
