009",35.000,"Foreign-born parent:","7,792","+/-2,349","5,443","10,141"
"B05009",36.000,"Child is native","5,715","+/-1,866","3,849","7,581"
"B05009",37.000,"Child is foreign born","2,077","+/-1,191","886","3,268"
"B05010",.,"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS",,,,
"B05010",.,"Universe: Own children under 18 years living in familes or subfamilies for whom poverty status is det
