 Count","Australia % Change","Argentina Count","Argentina % Change","Brazil Count","Brazil % Change","Colombia Count","Colombia % Change","Venezuela Count","Venezuela % Change",
"JANUARY","    35,462","     -7.3","    58,790","     -8.5","    91,619","    -10.9","    28,074","     -5.8","    33,909","      3.5"
"FEBRUARY","    28,865","     -1.7","    56,957","      0.9","    48,868","    -22.9","    21,031","     17.3","    31,289","      4.5"
"MARCH","    36,990","      7.4","    41,329","      7.6"," 
