occupations","225,953","+/-8,851","69.0","+/-2.0","2.9","+/-0.6","2.3","+/-0.6","14.6","+/-1.4","11.1","+/-1.4"
"S2406",30.3,,,,,,,,,,,,,
"S2406",30.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S2406",31.0,"Occupation","9.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"S2407",0.0,,,,,,,,,,,,,
"S2407",0.5,,"Total","Margin of Error","Private for-profit wage and salary workers","Margin of Error","Self-employed in own incorporated business workers","Margin of Error","Private not-for-profit wage and sa
