ic, and technical services","18,246","+/-2,188","16,058","20,434"
"C24030",19.000,"Management of companies and enterprises","282","+/-257","25","539"
"C24030",20.000,"Administrative and support and waste management services","11,550","+/-1,822","9,728","13,372"
"C24030",21.000,"Educational services, and health care and social assistance:","14,411","+/-1,766","12,645","16,177"
"C24030",22.000,"Educational services","6,244","+/-1,327","4,917","7,571"
"C24030",23.000,"Health care and social assistance","8,167"
