.,"SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (SOME OTHER RACE ALONE)",,,,
"B21001F",.,"Universe: Some other race alone civilian population 18 years and over",,,,
"B21001F",1.000,"Total:","97,686","+/-6,849","90,837","104,535"
"B21001F",2.000,"Male:","54,929","+/-4,191","50,738","59,120"
"B21001F",3.000,"18 to 34 years:","28,663","+/-2,615","26,048","31,278"
"B21001F",4.000,"Veteran","655","+/-320","335","975"
"B21001F",5.000,"Nonveteran","28,008","+/-2,633","25,375","30,641"
