itions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Characteristic,High school graduate,Under 1 year college,College 1 year more,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,,,,,,,
..Population 16 and over ,"1,019,466","224,660","416,212","192,210","586,307","204,988","54,279","19,808",,,,,,,,,
Residence in 1995:,,,,,,,,,,,,,,,,,
.Remained in the same house ,"672,660","136,014","238,726","114,063","323,445","119,585","28,
