"+/-943","29,541","31,427"
"B18042",7.000,"Female","17,219","+/-971","16,248","18,190"
"B18043",.,"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY MENTAL DISABILITY BY SEX FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 YEARS AND OVER WITH EARNINGS",,,,
"B18043",.,"Universe: Civilian noninstitutionalized population 16 years and over with earnings in the past 12 months",,,,
"B18043",1.000,"Total:","22,167","+/-465","21,702","22,632"
"B18043",2.000,"With a mental disability:"
