 Hispanic or Latino",106,"Living with grandchild(ren)","3.6","+/-0.5","2.6","+/-0.4"
"450","Not Hispanic or Latino",107,"Responsible for grandchild(ren)","45.3","+/-6.3","44.6","+/-10.4"
"450","Not Hispanic or Latino",108,"Civilian population 18 years and over","731,674","+/-1,043","525,601","+/-1,009"
"450","Not Hispanic or Latino",109,"Civilian veteran","12.9","+/-0.5","15.8","+/-0.7"
"450","Not Hispanic or Latino",110,"Civilian population 5 years and over","886,272","+/-1,085","607,018","+/-1,195"
"450",
