           "",             ""
    "",            "",            "",            "",             ""
    "",            "",            "",            "",             ""
"Line",        "1999",        "2000",        "2001",         "2002"
    "",            "",            "",            "",             ""
    "",            "",            "",            "",             ""
    "",            "",            "",            "",             ""
   "1",        131626,        151839,        124333,         142933
