55",.,"AGE OF HOUSEHOLDER",,,,
"C25055",.,"Universe:  Renter-occupied housing units paying cash rent",,,,
"C25055",1.000,"Total:","92,956","+/-3,518","89,438","96,474"
"C25055",2.000,"Householder 15 to 54 years","70,628","+/-3,306","67,322","73,934"
"C25055",3.000,"Householder 55 to 64 years","12,094","+/-1,562","10,532","13,656"
"C25055",4.000,"Householder 65 to 74 years","4,947","+/-1,253","3,694","6,200"
"C25055",5.000,"Householder 75 years and over","5,287","+/-1,067","4,220","6,354"
"C25056",.,"CONTRAC
