","81,516","90,294"
"C17010H",17.000,"With related children under 18 years","51,412","+/-3,251","48,161","54,663"
"C17010I",.,"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS (HISPANIC OR LATINO)",,,,
"C17010I",.,"Universe:  Families with a householder who is Hispanic or Latino",,,,
"C17010I",1.000,"Total:","66,115","+/-2,735","63,380","68,850"
"C17010I",2.000,"Income in the past 12 months below poverty level:","6,579","+/-1,350","5,229","7,929"
