,"Total:","322,107","+/-1,234","320,873","323,341"
"B01001H",2.000,"Male:","159,654","+/-915","158,739","160,569"
"B01001H",3.000,"Under 5 years","7,932","+/-176","7,756","8,108"
"B01001H",4.000,"5 to 9 years","7,714","+/-1,013","6,701","8,727"
"B01001H",5.000,"10 to 14 years","8,633","+/-1,071","7,562","9,704"
"B01001H",6.000,"15 to 17 years","5,437","+/-222","5,215","5,659"
"B01001H",7.000,"18 and 19 years","3,256","+/-144","3,112","3,400"
"B01001H",8.000,"20 to 24 years","7,245","+/-564","6,681","7,809"
