00,"Civilian:","40,146","+/-3,527","36,619","43,673"
"B23006",27.000,"Employed","39,547","+/-3,564","35,983","43,111"
"B23006",28.000,"Unemployed","599","+/-321","278","920"
"B23006",29.000,"Not in labor force","8,646","+/-1,643","7,003","10,289"
"B23007",.,"PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS",,,,
"B23007",.,"Universe:  Families",,,,
"B23007",1.000,"Total:","157,855","+/-4,148","153,707","162,003"
"B23007",2.000,"With own children under 18 years:","61,201","+/-3,330"
