08006",.,"SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK",,,,
"B08006",.,"Universe:  Workers 16 years and over",,,,
"B08006",1.000,"Total:","353,222","+/-5,159","348,063","358,381"
"B08006",2.000,"Car, truck, or van:","282,343","+/-5,715","276,628","288,058"
"B08006",3.000,"Drove alone","247,994","+/-5,846","242,148","253,840"
"B08006",4.000,"Carpooled:","34,349","+/-3,229","31,120","37,578"
"B08006",5.000,"In 2-person carpool","26,123","+/-2,627","23,496","28,750"
"B08006",6.000,"In 3-person carpool","6
