03B",.,"Universe:  Black or African American alone population",,,,
"C05003B",1.000,"Total:","21,160","+/-1,374","19,786","22,534"
"C05003B",2.000,"Male:","10,617","+/-759","9,858","11,376"
"C05003B",3.000,"Under 18 years:","1,952","+/-681","1,271","2,633"
"C05003B",4.000,"Native","1,878","+/-687","1,191","2,565"
"C05003B",5.000,"Foreign born","74","+/-121","0","195"
"C05003B",6.000,"18 years and over:","8,665","+/-450","8,215","9,115"
"C05003B",7.000,"Native","7,784","+/-682","7,102","8,466"
"C05003B",8.000
