glish (015, 022)",147,"Oceania","0.6","+/-0.7","N","N"
"529","English (015, 022)",148,"Latin America","50.4","+/-8.3","N","N"
"529","English (015, 022)",149,"Northern America","3.4","+/-2.4","N","N"
"529","English (015, 022)",150,"Population 5 years and over","628,683","+/-4,553","81,495","+/-5,704"
"529","English (015, 022)",151,"English only","96.0","+/-0.5","96.7","+/-1.5"
"529","English (015, 022)",152,"Language other than English","4.0","+/-0.5","3.3","+/-1.5"
"529","English (015, 022)",153,"Speak Engl
