","N","N","N"
"DP05",37.0,"Navajo tribal grouping","N","N","N","N","N"
"DP05",38.0,"Sioux tribal grouping","N","N","N","N","N"
"DP05",39.0,"Asian","5.0%","0.3","4.3%","0.1","*"
"DP05",40.0,"Asian Indian","21.1%","4.1","30.0%","4.8",
"DP05",41.0,"Chinese","15.7%","3.1","15.4%","4.1",
"DP05",42.0,"Filipino","3.7%","1.3","1.0%","0.4","*"
"DP05",43.0,"Japanese","1.3%","0.7","1.9%","0.8",
"DP05",44.0,"Korean","5.6%","1.8","7.9%","1.5",
"DP05",45.0,"Vietnamese","40.1%","5.1","32.5%","7.2",
"DP05",46.0,"Other Asia
