alone or in combination with one or more other races",78,"Nursery school, preschool","4.6","+/-0.8","5.2","+/-0.9"
"003","White alone or in combination with one or more other races",79,"Kindergarten","5.6","+/-0.9","5.4","+/-1.0"
"003","White alone or in combination with one or more other races",80,"Elementary school (grades 1-8)","43.6","+/-1.7","42.2","+/-1.9"
"003","White alone or in combination with one or more other races",81,"High school (grades 9-12)","24.0","+/-1.5","23.9","+/-1.7"
"003","White alon
