08006",.,"SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK",,,,
"C08006",.,"Universe: Workers 16 years and over",,,,
"C08006",1.000,"Total:","377,420","+/-10,871","366,549","388,291"
"C08006",2.000,"Car, truck, or van:","343,290","+/-10,155","333,135","353,445"
"C08006",3.000,"Drove alone","307,676","+/-9,272","298,404","316,948"
"C08006",4.000,"Carpooled:","35,614","+/-3,943","31,671","39,557"
"C08006",5.000,"In 2-person carpool","25,102","+/-2,791","22,311","27,893"
"C08006",6.000,"In 3-person carpool","
