vania,829,838,847,856,864,877,878,878
Salladasburg borough,Pennsylvania,254,256,258,253,256,259,260,260
Saltillo borough,Pennsylvania,330,331,334,337,339,342,343,343
Saltsburg borough,Pennsylvania,907,914,925,929,938,952,955,955
Sandy Lake borough,Pennsylvania,718,720,723,729,731,741,743,743
Sankertown borough,Pennsylvania,645,651,656,663,669,678,680,680
Saxonburg borough,Pennsylvania,"1,636","1,640","1,639","1,626","1,630","1,630","1,629","1,629"
Saxton borough,Pennsylvania,772,778,783,787,793,802,8
