Mexican",18,"18 years and over","76.2","+/-0.1","64.7","+/-0.6"
"401","Mexican",19,"21 years and over","71.5","+/-0.3","59.5","+/-0.7"
"401","Mexican",20,"62 years and over","17.8","+/-0.2","7.5","+/-0.5"
"401","Mexican",21,"65 years and over","14.8","+/-0.1","6.3","+/-0.3"
"401","Mexican",22,"Under 18 years","229,964","+/-192","98,782","+/-2,638"
"401","Mexican",23,"Male","51.1","+/-0.3","50.7","+/-0.9"
"401","Mexican",24,"Female","48.9","+/-0.3","49.3","+/-0.9"
"401","Mexican",25,"18 years and over","737,
