 Hispanic or Latino",97,"Female, high school graduate or higher","86.8","+/-0.9","92.7","+/-0.9"
"450","Not Hispanic or Latino",98,"Bachelor's degree or higher","29.5","+/-0.9","35.6","+/-1.1"
"450","Not Hispanic or Latino",99,"Male, bachelor's degree or higher","30.7","+/-1.3","37.6","+/-1.7"
"450","Not Hispanic or Latino",100,"Female, bachelor's degree or higher","28.3","+/-1.1","33.8","+/-1.4"
"450","Not Hispanic or Latino",101,"Women 15 to 50 years","237,316","+/-1,432","152,818","+/-1,344"
"450","Not H
