Y AGE BY CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B05003H",.,"Universe:  White alone, not Hispanic or Latino population",,,,
"B05003H",1.000,"Total:","549,730","+/-1,803","547,927","551,533"
"B05003H",2.000,"Male:","266,799","+/-1,384","265,415","268,183"
"B05003H",3.000,"Under 18 years:","58,237","+/-1,187","57,050","59,424"
"B05003H",4.000,"Native","58,045","+/-1,208","56,837","59,253"
"B05003H",5.000,"Foreign born:","192","+/-207","0","399"
"B05003H",6.000,"Naturalized U.S. citizen"
