ime, year-round","668","+/-493","175","1,161"
"C17009",4.000,"Worked less than full-time, year-round","6,112","+/-1,396","4,716","7,508"
"C17009",5.000,"Did not work","10,834","+/-2,067","8,767","12,901"
"C17009",6.000,"Income in the past 12 months at or above the poverty level:","108,194","+/-6,489","101,705","114,683"
"C17009",7.000,"Worked full-time, year-round","59,245","+/-5,062","54,183","64,307"
"C17009",8.000,"Worked less than full-time, year-round","24,925","+/-2,872","22,053","27,797"
"C17009",9.0
