ne or in combination with one or more other races, not Hispanic or Latino",247,"With related children under 18 years","4.7","+/-1.5","2.8","+/-1.3"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",248,"With related children under 5 years only","5.5","+/-4.5","N","N"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",249,"Female householder, no husband present, family","25.7","+/-4.1","22.5","+/-5.3"
"452","White alone or in co
