"17.8","+/-0.6","25.0","+/-2.9","17.8","+/-6.6",,,,
"S0802",91.3,,,,,,,,,,,,,
"S0802",92.0,"Workers 16 years and over in households","433,326","+/-10,524","356,956","+/-10,396","52,011","+/-3,880","1,451","+/-794",,,,
"S0802",92.5,"HOUSING TENURE",,,,,,,,,,,,
"S0802",93.0,"Owner-occupied housing units","62.2","+/-1.7","65.1","+/-1.7","50.1","+/-5.1","22.7","+/-17.3",,,,
"S0802",94.0,"Renter-occupied housing units","37.8","+/-1.7","34.9","+/-1.7","49.9","+/-5.1","77.3","+/-17.3",,,,
"S0802",94.3,,,,,,,,,,,,,
