",
"DP04",59.0,"2 vehicles available","45.1%","0.8","45.7%","0.8",
"DP04",60.0,"3 or more vehicles available","24.3%","0.7","23.3%","0.7",
"DP04",60.3,,,,,,
"DP04",60.5,"HOUSE HEATING FUEL",,,,,
"DP04",61.0,"Occupied housing units","237,501","1,730","239,592","1,396",
"DP04",62.0,"Utility gas","64.2%","0.8","63.5%","0.9",
"DP04",63.0,"Bottled, tank, or LP gas","2.1%","0.2","2.1%","0.2",
"DP04",64.0,"Electricity","8.2%","0.6","8.2%","0.6",
"DP04",65.0,"Fuel oil, kerosene, etc.","24.6%","0.7","25.3%","0.8",
"
