,000 to $14,999","93","+/-163","0","256"
"C19037F",27.000,"$15,000 to $24,999","541","+/-478","63","1,019"
"C19037F",28.000,"$25,000 to $34,999","173","+/-180","0","353"
"C19037F",29.000,"$35,000 to $49,999","979","+/-532","447","1,511"
"C19037F",30.000,"$50,000 to $74,999","1,114","+/-603","511","1,717"
"C19037F",31.000,"$75,000 to $99,999","1,340","+/-765","575","2,105"
"C19037F",32.000,"$100,000 to $149,999","1,878","+/-684","1,194","2,562"
"C19037F",33.000,"$150,000 to $199,999","778","+/-457","321","1,
