,"37,868"
.80 to 84 years,"26,546","26,134","25,908","25,395","24,888","24,763","24,765"
.85 years or more,"21,460","20,631","19,754","18,910","18,200","17,973","17,973"
,,,,,,,
.Under 18 years,"348,882","354,466","360,655","364,896","374,750","376,720","376,710"
.Under 5 years,"92,522","92,779","93,412","93,932","96,241","96,726","96,723"
.5 to 13 years,"172,377","177,293","181,396","183,892","188,882","189,787","189,782"
.14 to 17 years,"83,983","84,394","85,847","87,072","89,627","90,207","90,205"
