97/q2/,inq21997.tgz,946949.nc,19970617,26.7333,52.7500,2.00000,77.0000,19.2000,31.0000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,948996.nc,19970617,26.7167,52.7833,0.00000,81.0000,19.1000,31.6000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,949002.nc,19970618,27.0167,52.3333,0.00000,78.0000,19.3000,31.4000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,948997.nc,19970618,26.7333,52.7500,0.00000,73.0000,19.2000,31.8000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.
