stry, fishing and hunting, and mining","133","+/-154","0","287"
"C08126",31.000,"Construction","3,219","+/-1,152","2,067","4,371"
"C08126",32.000,"Manufacturing","2,152","+/-741","1,411","2,893"
"C08126",33.000,"Wholesale trade","2,647","+/-1,320","1,327","3,967"
"C08126",34.000,"Retail trade","2,495","+/-698","1,797","3,193"
"C08126",35.000,"Transportation and warehousing, and utilities","2,176","+/-903","1,273","3,079"
"C08126",36.000,"Information and finance and insurance, and real estate and rental and 
