19101F",.,"Universe:  Families with a householder who is Some other race alone",,,,
"C19101F",1.000,"Total:","9,825","+/-1,545","8,280","11,370"
"C19101F",2.000,"Less than $10,000","243","+/-214","29","457"
"C19101F",3.000,"$10,000 to $14,999","47","+/-80","0","127"
"C19101F",4.000,"$15,000 to $24,999","1,018","+/-604","414","1,622"
"C19101F",5.000,"$25,000 to $34,999","994","+/-538","456","1,532"
"C19101F",6.000,"$35,000 to $49,999","1,216","+/-437","779","1,653"
"C19101F",7.000,"$50,000 to $74,999","2,626
