,"IMPUTATION OF VEHICLES AVAILABLE FOR WORKERS FOR WORKPLACE GEOGRAPHY",,,,
"B99089",.,"Universe:  Workers 16 years and over in households",,,,
"B99089",1.000,"Total:","2,663,925","+/-11,467","2,652,458","2,675,392"
"B99089",2.000,"Imputed","14,987","+/-2,546","12,441","17,533"
"B99089",3.000,"Not imputed","2,648,938","+/-11,737","2,637,201","2,660,675"
"C08406",.,"SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"C08406",.,"Universe:  Workers 16 years and over",,,,
"C08406",1.
