
"B25032",3.000,"1, detached","144,745","+/-4,183","140,562","148,928"
"B25032",4.000,"1, attached","1,467","+/-536","931","2,003"
"B25032",5.000,"2","630","+/-373","257","1,003"
"B25032",6.000,"3 or 4","0","+/-265","0","265"
"B25032",7.000,"5 to 9","242","+/-194","48","436"
"B25032",8.000,"10 to 19","82","+/-105","0","187"
"B25032",9.000,"20 to 49","0","+/-265","0","265"
"B25032",10.000,"50 or more","60","+/-107","0","167"
"B25032",11.000,"Mobile home","30,394","+/-2,417","27,977","32,811"
"B25032",12.000,
