eholder,520,3,102,207,158,20,28,3,-,-
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,496,-,18,92,177,31,168,10,-,-
..Living with nonrelatives,573,5,17,105,256,49,129,13,-,-
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,843,17,59,290,259,65,150,3,-,-
..Other,"4,498",43,817,"1,076","2,036",177,343,5,-,-
.NONRELATIVE,,,,,,,,,,
..Nonrelative,"1,150",5,114,324,462,64,174,7,-,-
25 to 34 years,,,,,,,,,,
.Total,"11,982",108,513,"3,062","2,435","1,267","3,418",937,144,99
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Ma
