",11.000,"$200,000 or more","1,588","+/-728","860","2,316"
"C19001G",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER)",,,,
"C19001G",.,"Universe:  Households with a householder who is Two or more races",,,,
"C19001G",1.000,"Total:","18,474","+/-2,312","16,162","20,786"
"C19001G",2.000,"Less than $10,000","1,076","+/-552","524","1,628"
"C19001G",3.000,"$10,000 to $14,999","747","+/-525","222","1,272"
"C19001G",4.000,"$15,000 to $24,999","1,188","+
