5,000 to $64,999","12,025","+/-1,555","10,470","13,580"
"B20005H",93.000,"$65,000 to $74,999","7,350","+/-1,416","5,934","8,766"
"B20005H",94.000,"$75,000 to $99,999","9,700","+/-1,426","8,274","11,126"
"B20005H",95.000,"$100,000 or more","6,943","+/-1,119","5,824","8,062"
"B20005I",.,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"B20005I",.,"Universe:  Hispanic or Latino pop
