 with nonrelatives,421,10,27,150,88,21,69,42,3,11
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"3,700",37,153,"1,127",690,365,796,358,105,69
..Other,807,33,68,394,85,38,115,62,10,1
.NONRELATIVE,,,,,,,,,,
..Nonrelative,499,20,23,193,96,32,90,24,9,12
55 to 64 years,,,,,,,,,,
.Total,"10,640",335,714,"3,198","1,835",783,"2,033","1,083",302,359
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,"5,545",123,329,"1,592",985,455,"1,123",583,165,190
..Other family householder,283,17,22,92,47,20,57,18,5,
