","273,384","+/-1,401","71.9","+/-0.4"
"DP05",20.0,"62 years and over","54,039","+/-1,037","14.2","+/-0.3"
"DP05",21.0,"65 years and over","44,925","+/-368","11.8","+/-0.1"
"DP05",21.3,,,,,
"DP05",22.0,"18 years and over","290,258","+/-510","100","(X)"
"DP05",23.0,"Male","144,803","+/-676","38.1","+/-0.2"
"DP05",24.0,"Female","145,455","+/-608","38.3","+/-0.2"
"DP05",24.3,,,,,
"DP05",25.0,"65 years and over","44,925","+/-368","100","(X)"
"DP05",26.0,"Male","19,089","+/-211","5.0","+/-0.1"
"DP05",27.0,"Femal
