,14.000,"12:00 p.m. to 3:59 p.m.","197,365","+/-6,182","191,183","203,547"
"B08532",15.000,"4:00 p.m. to 11:59 p.m.","174,294","+/-5,968","168,326","180,262"
"B08532",16.000,"Car, truck, or van - drove alone:","2,099,771","+/-11,394","2,088,377","2,111,165"
"B08532",17.000,"12:00 a.m. to 4:59 a.m.","58,888","+/-3,193","55,695","62,081"
"B08532",18.000,"5:00 a.m. to 5:29 a.m.","43,433","+/-2,999","40,434","46,432"
"B08532",19.000,"5:30 a.m. to 5:59 a.m.","101,567","+/-3,639","97,928","105,206"
"B08532",20.00
