ot Hispanic or Latino",75,"Separated","2.7","+/-0.5","1.9","+/-0.5"
"451","White alone, not Hispanic or Latino",76,"Never married","23.2","+/-1.2","20.5","+/-1.2"
"451","White alone, not Hispanic or Latino",77,"Population 3 years and over enrolled in school","198,063","+/-5,769","123,915","+/-4,500"
"451","White alone, not Hispanic or Latino",78,"Nursery school, preschool","4.6","+/-0.8","5.5","+/-1.1"
"451","White alone, not Hispanic or Latino",79,"Kindergarten","5.6","+/-0.9","4.6","+/-1.0"
"451","White a
