ania,"9,348","9,417","9,489","9,575","9,672","9,773","9,804","9,804"
Carlisle borough,Pennsylvania,"18,108","18,071","18,068","18,094","18,037","17,956","17,970","17,970"
Carmichaels borough,Pennsylvania,525,532,538,543,548,555,556,556
Carnegie borough,Pennsylvania,"8,149","8,204","8,246","8,259","8,299","8,371","8,389","8,389"
Carrolltown borough,Pennsylvania,996,"1,004","1,016","1,026","1,034","1,046","1,049","1,049"
Carroll Valley borough,Pennsylvania,"3,505","3,467","3,412","3,362","3,322","3,298",
