1.0","+/-0.3","50.9","+/-0.2"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",34,"65 years and over","105,064","+/-1,342","102,570","+/-1,185"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",35,"Male","41.9","+/-0.5","41.9","+/-0.3"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",36,"Female","58.1","+/-0.5","58.1","+/-0.3"
"452","White alone or in combination with one or more othe
