 ,NURSERY PLANTS POTTED UNSPECIFIED ,53 ,Monterey ,  ,  ,  ,  ,  ,65239000
2007 ,866999 ,NURSERY PLANTS POTTED UNSPECIFIED ,59 ,Orange ,  ,  ,  ,  ,  ,17624600
2007 ,866999 ,NURSERY PLANTS POTTED UNSPECIFIED ,77 ,San Joaquin ,  ,  ,  ,  ,  ,5543000
2007 ,866999 ,NURSERY PLANTS POTTED UNSPECIFIED ,81 ,San Mateo ,  ,  ,  ,  ,  ,91138000
2007 ,866999 ,NURSERY PLANTS POTTED UNSPECIFIED ,111 ,Ventura ,  ,  ,  ,  ,  ,14073000
2007 ,866999 ,NURSERY PLANTS POTTED UNSPECIFIED ,991 ,Sum of Others ,  ,  ,  ,  ,  
