ce and insurance, and real estate and rental and leasing","409","+/-284","125","693"
"C08126",65.000,"Professional, scientific, and management, and administrative and waste management services","217","+/-257","0","474"
"C08126",66.000,"Educational services, and health care and social assistance","1,860","+/-714","1,146","2,574"
"C08126",67.000,"Arts, entertainment, and recreation, and accommodation and food services","2,304","+/-822","1,482","3,126"
"C08126",68.000,"Other services (except public administrat
