c, and technical services","7,643","+/-1,353","6,290","8,996"
"B24070",99.000,"Management of companies and enterprises","209","+/-205","4","414"
"B24070",100.000,"Administrative and support and waste management services","2,509","+/-772","1,737","3,281"
"B24070",101.000,"Educational services, and health care and social assistance:","71,234","+/-4,286","66,948","75,520"
"B24070",102.000,"Educational services","23,791","+/-2,268","21,523","26,059"
"B24070",103.000,"Health care and social assistance","47,443",
