$4,999","297","+/-303","0","600"
"B19325",55.000,"$5,000 to $7,499","114","+/-139","0","253"
"B19325",56.000,"$7,500 to $9,999","154","+/-176","0","330"
"B19325",57.000,"$10,000 to $12,499","1,973","+/-920","1,053","2,893"
"B19325",58.000,"$12,500 to $14,999","1,313","+/-755","558","2,068"
"B19325",59.000,"$15,000 to $17,499","3,754","+/-1,320","2,434","5,074"
"B19325",60.000,"$17,500 to $19,999","2,515","+/-1,088","1,427","3,603"
"B19325",61.000,"$20,000 to $22,499","3,212","+/-1,066","2,146","4,278"
"B193
